datetime,value
2013-12-13,1571900161.8
2013-12-16,1039501357.1
2013-12-17,1499658989.1
2013-12-18,935023408.3
2013-12-19,2284814264.4
2013-12-20,3036093696.3
2013-12-23,1930104558.8
2013-12-24,933299341.9
2013-12-25,1324542063.3
2013-12-26,922899756.9
2013-12-27,2065853466.5
2013-12-30,2505502866.6
2014-01-06,682214030.8
2014-01-08,498042475.8
2014-01-09,838162139.9
2014-01-10,771266793.8
2014-01-13,1213799793.6
2014-01-14,2148924357.9
2014-01-15,1558963474.3
2014-01-16,891827887.6
2014-01-17,1035887664.1
2014-01-20,989529343.5
2014-01-21,854793154.4
2014-01-22,1786194247.6
2014-01-23,1368415899.5
2014-01-24,2397111245.9
2014-01-27,2379294394.5
2014-01-28,1222390061.8
2014-01-29,2488481050.7
2014-01-30,2140648636.3
2014-01-31,1469318210.7
2014-02-03,1252950192.4
2014-02-04,1232976735.2
2014-02-05,1367000846.3
2014-02-06,1043086280.4
2014-02-07,796482551.3
2014-02-10,622801137.0
2014-02-11,757416656.9
2014-02-12,1450586462.6
2014-02-13,843098913.2
2014-02-14,1126412946.6
2014-02-17,511095506.8
2014-02-18,979811190.2
2014-02-19,1650353711.5
2014-02-20,1487986155.7
2014-02-21,848103526.3
2014-02-24,957610239.8
2014-02-25,923445419.8
2014-02-26,1250209621.0
2014-02-27,2676348682.8
2014-02-28,2075046153.3
2014-03-03,5190361065.4
2014-03-04,3766282608.5
2014-03-05,3125778649.4
2014-03-06,2769008381.0
2014-03-07,1874111217.8
2014-03-11,3053980523.2
2014-03-12,2618968788.9
2014-03-13,3443081062.8
2014-03-14,3624768032.8
2014-03-17,3275383214.5
2014-03-18,3707230741.6
2014-03-19,2669828261.0
2014-03-20,2085809899.8
2014-03-21,2439162068.2
2014-03-24,1189860747.2
2014-03-25,2138141793.2
2014-03-26,2420541474.9
2014-03-27,3272132500.7
2014-03-28,3365729459.6
2014-03-31,3802546689.0
2014-04-01,3432714141.6
2014-04-02,4214588472.2
2014-04-03,3317098119.6
2014-04-04,5349926665.2
2014-04-07,3031276940.5
2014-04-08,2963830142.4
2014-04-09,1992059388.2
2014-04-10,2165060554.2
2014-04-11,4817243622.6
2014-04-14,2973854902.7
2014-04-15,2820322134.7
2014-04-16,2031800405.4
2014-04-17,2210486641.2
2014-04-18,1653363022.5
2014-04-21,863300869.1
2014-04-22,1918366577.5
2014-04-23,2550752275.8
2014-04-24,4239149205.6
2014-04-25,3024438693.4
2014-04-28,2390790018.2
2014-04-29,1672537007.2
2014-04-30,1373679653.5
2014-05-02,729557574.3
2014-05-05,1920058058.3
2014-05-06,2743802864.3
2014-05-07,5156009262.7
2014-05-08,2627637588.9
2014-05-12,3327894741.1
2014-05-13,6067645629.2
2014-05-14,3113329498.9
2014-05-15,2986247738.7
2014-05-16,2495354757.6
2014-05-19,2845621237.6
2014-05-20,3251933764.5
2014-05-21,3724956310.5
2014-05-22,1731319062.5
2014-05-23,1298041425.0
2014-05-26,1604939399.1
2014-05-27,6164992878.1
2014-05-28,3313293529.4
2014-05-29,2601394960.6
2014-05-30,1948720257.5
2014-06-02,4081431688.5
2014-06-03,5707050542.7
2014-06-04,4225738586.1
2014-06-05,3900386861.0
2014-06-06,4521422629.2
2014-06-09,1217070636.3
2014-06-10,2580788059.9
2014-06-11,1248199735.5
2014-06-16,2793003187.5
2014-06-17,1508282297.7
2014-06-18,2068427186.6
2014-06-19,1746639719.1
2014-06-20,2351605375.1
2014-06-23,2246733732.4
2014-06-24,4541583085.1
2014-06-25,3169383192.9
2014-06-26,2996669810.3
2014-06-27,3777195001.7
2014-06-30,1992472459.6
2014-07-01,1126078749.9
2014-07-02,1547889692.1
2014-07-03,1992786234.8
2014-07-04,1561064230.0
2014-07-07,2734056721.9
2014-07-08,2724235235.1
2014-07-09,1893944676.5
2014-07-10,2151734660.4
2014-07-11,1728681801.5
2014-07-14,1401382059.3
2014-07-15,1434667636.2
2014-07-16,1777112952.7
2014-07-17,2723696843.5
2014-07-18,1844815953.6
2014-07-21,1563009131.7
2014-07-22,2285897123.4
2014-07-23,3389281553.5
2014-07-24,1955969517.1
2014-07-25,1283565359.7
2014-07-28,1777078825.2
2014-07-29,1753319673.2
2014-07-30,1993733640.8
2014-07-31,977679796.1
2014-08-01,2553027784.1
2014-08-04,1682990487.4
2014-08-05,1571663899.3
2014-08-06,1799788399.4
2014-08-07,2704516392.4
2014-08-08,1675140411.3
2014-08-11,1405884828.1000006
2014-08-12,1213655314.3999994
2014-08-13,950867733.0000008
2014-08-14,763491073.7999995
2014-08-15,535959504.8000004
2014-08-18,607785114.9
2014-08-19,726100221.3000003
2014-08-20,759871909.3
2014-08-21,1580341183.1
2014-08-22,1342753946.4999998
2014-08-25,869865877.1
2014-08-26,817467986.5000011
2014-08-27,731509519.0
2014-08-28,2015264112.7
2014-08-29,938533540.2
2014-09-01,1191129358.0
2014-09-02,678813504.8
2014-09-03,1929156657.1
2014-09-04,1760372627.8
2014-09-05,1727115294.1
2014-09-08,935737310.3
2014-09-09,799072126.5
2014-09-10,647640287.7
2014-09-11,1014404795.8
2014-09-12,947190275.3
2014-09-15,1180594162.6
2014-09-16,935896494.5
2014-09-17,867335877.9
2014-09-18,585978907.3
2014-09-19,1126116515.2
2014-09-22,485546404.7
2014-09-23,845783916.9
2014-09-24,720322504.8
2014-09-25,763877462.1
2014-09-26,718800985.0
2014-09-29,757485630.5
2014-09-30,755303434.7
2014-10-01,745972630.9
2014-10-02,943829745.4
2014-10-03,691368596.9
2014-10-06,710683903.8
2014-10-07,767473444.3
2014-10-08,764428065.9
2014-10-09,737590013.2
2014-10-10,1108672701.2
2014-10-13,931664777.0
2014-10-14,809494479.4
2014-10-15,1041694791.6
2014-10-16,1036151305.2
2014-10-17,668133561.8
2014-10-20,690787898.6
2014-10-21,727652764.4
2014-10-22,811669094.4
2014-10-23,659845505.5
2014-10-24,618160204.7
2014-10-27,849441572.4
2014-10-28,805188956.4
2014-10-29,1358796701.3
2014-10-30,1722674914.2
